member_id,sr_no,state_raw,mp_name_raw,constituency_raw,allocated_amount,allocated_amount_raw,state,mp_name,mp_name_clean,has_title_prefix,name_case_consistent,name_has_double_space,constituency,amount_missing,amount_has_paise,constituency_category,constituency_base,member_key
87,87,Maharashtra,BHUMARE SANDIPANRAO ASARAM,AURANGABAD_MH,147000000.0,147000000,Maharashtra,BHUMARE SANDIPANRAO ASARAM,BHUMARE SANDIPANRAO ASARAM,False,False,False,AURANGABAD_MH,False,False,general,AURANGABAD (MH),maharashtra|bhumare sandipanrao asaram|aurangabad_mh
88,88,Andhra Pradesh,Bhupathiraju Srinivasa varma,NARASAPURAM,147000000.0,147000000,Andhra Pradesh,Bhupathiraju Srinivasa varma,Bhupathiraju Srinivasa varma,False,True,False,NARASAPURAM,False,False,general,NARASAPURAM,andhra pradesh|bhupathiraju srinivasa varma|narasapuram
89,89,Rajasthan,BHUPENDER YADAV,ALWAR,147000000.0,147000000,Rajasthan,BHUPENDER YADAV,BHUPENDER YADAV,False,False,False,ALWAR,False,False,general,ALWAR,rajasthan|bhupender yadav|alwar
90,90,Odisha,BIBHU PRASAD TARAI,JAGATSINGHPUR(SC),147000000.0,147000000,Odisha,BIBHU PRASAD TARAI,BIBHU PRASAD TARAI,False,False,False,JAGATSINGHPUR(SC),False,False,sc,JAGATSINGHPUR,odisha|bibhu prasad tarai|jagatsinghpur(sc)
91,91,Jharkhand,Bidyut Baran Mahato,JAMSHEDPUR,147000000.0,147000000,Jharkhand,Bidyut Baran Mahato,Bidyut Baran Mahato,False,True,False,JAMSHEDPUR,False,False,general,JAMSHEDPUR,jharkhand|bidyut baran mahato|jamshedpur
92,92,Assam,BIJULI KALITA MEDHI,GUWAHATI,147000000.0,147000000,Assam,BIJULI KALITA MEDHI,BIJULI KALITA MEDHI,False,False,False,GUWAHATI,False,False,general,GUWAHATI,assam|bijuli kalita medhi|guwahati
93,93,Tripura,BIPLAB KUMAR DEB,TRIPURA WEST,147000000.0,147000000,Tripura,BIPLAB KUMAR DEB,BIPLAB KUMAR DEB,False,False,False,TRIPURA WEST,False,False,general,TRIPURA WEST,tripura|biplab kumar deb|tripura west
94,94,Andaman And Nicobar Islands,BISHNU PADA RAY,ANDAMAN AND NICOBAR ISLANDS,147000000.0,147000000,Andaman And Nicobar Islands,BISHNU PADA RAY,BISHNU PADA RAY,False,False,False,ANDAMAN AND NICOBAR ISLANDS,False,False,general,ANDAMAN AND NICOBAR ISLANDS,andaman and nicobar islands|bishnu pada ray|andaman and nicobar islands
95,95,Rajasthan,BRIJENDRA SINGH OLA,JHUNJHUNU,147000000.0,147000000,Rajasthan,BRIJENDRA SINGH OLA,BRIJENDRA SINGH OLA,False,False,False,JHUNJHUNU,False,False,general,JHUNJHUNU,rajasthan|brijendra singh ola|jhunjhunu
96,96,Chhattisgarh,BRIJMOHAN AGRAWAL,RAIPUR,153766451.11,153766451.11,Chhattisgarh,BRIJMOHAN AGRAWAL,BRIJMOHAN AGRAWAL,False,False,False,RAIPUR,False,True,general,RAIPUR,chhattisgarh|brijmohan agrawal|raipur
97,97,Madhya Pradesh,BUNTY VIVEK SAHU,CHHINDWARA,147000000.0,147000000,Madhya Pradesh,BUNTY VIVEK SAHU,BUNTY VIVEK SAHU,False,False,False,CHHINDWARA,False,False,general,CHHINDWARA,madhya pradesh|bunty vivek sahu|chhindwara
98,98,Gujarat,C R Patil,NAVSARI,158532494.36,158532494.36,Gujarat,C R Patil,C R Patil,False,True,False,NAVSARI,False,True,general,NAVSARI,gujarat|c r patil|navsari
99,99,Andhra Pradesh,C.M.RAMESH,ANAKAPALLE,202531656.11,202531656.11,Andhra Pradesh,C.M.RAMESH,C.M.RAMESH,False,False,False,ANAKAPALLE,False,True,general,ANAKAPALLE,andhra pradesh|c.m.ramesh|anakapalle
100,100,Karnataka,CAPTAIN BRIJESH CHOWTA,DAKSHINA KANNADA,147000000.0,147000000,Karnataka,CAPTAIN BRIJESH CHOWTA,BRIJESH CHOWTA,True,False,False,DAKSHINA KANNADA,False,False,general,DAKSHINA KANNADA,karnataka|brijesh chowta|dakshina kannada
101,101,Goa,CAPTAIN VIRIATO FERNANDES,SOUTH GOA,147000000.0,147000000,Goa,CAPTAIN VIRIATO FERNANDES,VIRIATO FERNANDES,True,False,False,SOUTH GOA,False,False,general,SOUTH GOA,goa|viriato fernandes|south goa
